Dominant_Topic,Perc_Contribution,Topic_Keywords,Original_Text
6,0.3914,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
2,0.4691,"data, learning, training, model, models, new, language, performance, representations, supervised",
9,0.9937,"text, model, based, models, system, language, speech, end, word, knowledge",
6,0.6887,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
5,0.9267,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
4,0.6005,"models, learning, deep, training, model, task, art, images, state, state_art",
6,0.9928,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
4,0.5841,"models, learning, deep, training, model, task, art, images, state, state_art",
2,0.9815,"data, learning, training, model, models, new, language, performance, representations, supervised",
9,0.4768,"text, model, based, models, system, language, speech, end, word, knowledge",
6,0.4992,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
0,0.9911,"codes, code, 1, n, paper, m, optimal, linear, minimum, binary",
8,0.9953,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
1,0.6856,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
8,0.7717,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
8,0.7909,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
7,0.9933,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
4,0.5092,"models, learning, deep, training, model, task, art, images, state, state_art",
2,0.536,"data, learning, training, model, models, new, language, performance, representations, supervised",
0,0.9943,"codes, code, 1, n, paper, m, optimal, linear, minimum, binary",
8,0.9278,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
8,0.9131,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
2,0.6739,"data, learning, training, model, models, new, language, performance, representations, supervised",
9,0.5164,"text, model, based, models, system, language, speech, end, word, knowledge",
1,0.943,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
5,0.4685,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
6,0.8109,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
7,0.7919,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
6,0.4171,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
8,0.6382,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
5,0.427,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
9,0.5952,"text, model, based, models, system, language, speech, end, word, knowledge",
2,0.5629,"data, learning, training, model, models, new, language, performance, representations, supervised",
5,0.7083,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
4,0.7309,"models, learning, deep, training, model, task, art, images, state, state_art",
2,0.4422,"data, learning, training, model, models, new, language, performance, representations, supervised",
4,0.9954,"models, learning, deep, training, model, task, art, images, state, state_art",
8,0.9349,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
1,0.5276,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
2,0.9806,"data, learning, training, model, models, new, language, performance, representations, supervised",
1,0.3514,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
8,0.994,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
7,0.9927,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
1,0.5434,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
7,0.4884,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
8,0.4107,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
4,0.4132,"models, learning, deep, training, model, task, art, images, state, state_art",
1,0.7387,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
2,0.6944,"data, learning, training, model, models, new, language, performance, representations, supervised",
8,0.608,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
1,0.6503,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
5,0.51,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
7,0.8419,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
8,0.4211,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
4,0.5535,"models, learning, deep, training, model, task, art, images, state, state_art",
6,0.4324,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
4,0.5784,"models, learning, deep, training, model, task, art, images, state, state_art",
2,0.6432,"data, learning, training, model, models, new, language, performance, representations, supervised",
2,0.6937,"data, learning, training, model, models, new, language, performance, representations, supervised",
6,0.44,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
5,0.3237,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
1,0.8988,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
4,0.6841,"models, learning, deep, training, model, task, art, images, state, state_art",
4,0.8871,"models, learning, deep, training, model, task, art, images, state, state_art",
9,0.9908,"text, model, based, models, system, language, speech, end, word, knowledge",
4,0.3995,"models, learning, deep, training, model, task, art, images, state, state_art",
1,0.5535,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
5,0.7476,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
1,0.6391,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
9,0.6656,"text, model, based, models, system, language, speech, end, word, knowledge",
8,0.7732,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
5,0.5454,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
3,0.5459,"translation, model, target, information, feedback, based, language, machine, natural, machine_translation",
1,0.5194,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
6,0.6544,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
2,0.6453,"data, learning, training, model, models, new, language, performance, representations, supervised",
3,0.99,"translation, model, target, information, feedback, based, language, machine, natural, machine_translation",
8,0.9863,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
8,0.8989,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
4,0.2926,"models, learning, deep, training, model, task, art, images, state, state_art",
9,0.5178,"text, model, based, models, system, language, speech, end, word, knowledge",
8,0.6478,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
4,0.7671,"models, learning, deep, training, model, task, art, images, state, state_art",
8,0.5076,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
9,0.4501,"text, model, based, models, system, language, speech, end, word, knowledge",
1,0.4701,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
0,0.643,"codes, code, 1, n, paper, m, optimal, linear, minimum, binary",
8,0.9952,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
3,0.9918,"translation, model, target, information, feedback, based, language, machine, natural, machine_translation",
4,0.3647,"models, learning, deep, training, model, task, art, images, state, state_art",
5,0.4748,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
8,0.7364,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
4,0.9955,"models, learning, deep, training, model, task, art, images, state, state_art",
2,0.6879,"data, learning, training, model, models, new, language, performance, representations, supervised",
7,0.9958,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
7,0.3921,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
1,0.5557,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
5,0.4558,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
2,0.5795,"data, learning, training, model, models, new, language, performance, representations, supervised",
7,0.6429,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
9,0.3456,"text, model, based, models, system, language, speech, end, word, knowledge",
8,0.742,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
4,0.5493,"models, learning, deep, training, model, task, art, images, state, state_art",
8,0.9927,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
1,0.4309,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
5,0.6562,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
7,0.7418,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
1,0.5852,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
2,0.3816,"data, learning, training, model, models, new, language, performance, representations, supervised",
1,0.933,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
4,0.5073,"models, learning, deep, training, model, task, art, images, state, state_art",
2,0.6234,"data, learning, training, model, models, new, language, performance, representations, supervised",
8,0.541,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
2,0.6671,"data, learning, training, model, models, new, language, performance, representations, supervised",
8,0.6808,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
4,0.3725,"models, learning, deep, training, model, task, art, images, state, state_art",
2,0.7801,"data, learning, training, model, models, new, language, performance, representations, supervised",
1,0.9924,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
1,0.3745,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
0,0.8922,"codes, code, 1, n, paper, m, optimal, linear, minimum, binary",
6,0.4396,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
4,0.3721,"models, learning, deep, training, model, task, art, images, state, state_art",
8,0.7694,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
7,0.3531,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
8,0.9946,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
6,0.4816,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
6,0.5464,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
7,0.4169,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
8,0.9899,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
7,0.5996,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
9,0.6211,"text, model, based, models, system, language, speech, end, word, knowledge",
8,0.6809,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
8,0.783,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
4,0.8057,"models, learning, deep, training, model, task, art, images, state, state_art",
1,0.5118,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
8,0.9934,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
4,0.6031,"models, learning, deep, training, model, task, art, images, state, state_art",
2,0.3374,"data, learning, training, model, models, new, language, performance, representations, supervised",
2,0.5351,"data, learning, training, model, models, new, language, performance, representations, supervised",
7,0.461,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
5,0.66,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
1,0.7068,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
6,0.9964,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
6,0.7324,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
7,0.7049,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
4,0.4827,"models, learning, deep, training, model, task, art, images, state, state_art",
6,0.7045,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
4,0.993,"models, learning, deep, training, model, task, art, images, state, state_art",
4,0.6871,"models, learning, deep, training, model, task, art, images, state, state_art",
0,0.4595,"codes, code, 1, n, paper, m, optimal, linear, minimum, binary",
2,0.4728,"data, learning, training, model, models, new, language, performance, representations, supervised",
3,0.9911,"translation, model, target, information, feedback, based, language, machine, natural, machine_translation",
8,0.8011,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
0,0.9862,"codes, code, 1, n, paper, m, optimal, linear, minimum, binary",
8,0.9913,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
7,0.5242,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
6,0.4691,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
9,0.5107,"text, model, based, models, system, language, speech, end, word, knowledge",
9,0.3575,"text, model, based, models, system, language, speech, end, word, knowledge",
2,0.3972,"data, learning, training, model, models, new, language, performance, representations, supervised",
1,0.9954,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
7,0.3996,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
8,0.9937,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
5,0.7832,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
9,0.6172,"text, model, based, models, system, language, speech, end, word, knowledge",
7,0.4478,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
2,0.5073,"data, learning, training, model, models, new, language, performance, representations, supervised",
4,0.3693,"models, learning, deep, training, model, task, art, images, state, state_art",
8,0.9937,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
2,0.6051,"data, learning, training, model, models, new, language, performance, representations, supervised",
4,0.3871,"models, learning, deep, training, model, task, art, images, state, state_art",
2,0.7928,"data, learning, training, model, models, new, language, performance, representations, supervised",
0,0.5126,"codes, code, 1, n, paper, m, optimal, linear, minimum, binary",
8,0.4963,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
8,0.9927,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
7,0.4379,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
8,0.9949,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
8,0.7547,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
8,0.6403,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
4,0.3328,"models, learning, deep, training, model, task, art, images, state, state_art",
8,0.5133,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
1,0.7936,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
0,0.954,"codes, code, 1, n, paper, m, optimal, linear, minimum, binary",
4,0.9426,"models, learning, deep, training, model, task, art, images, state, state_art",
5,0.589,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
9,0.7045,"text, model, based, models, system, language, speech, end, word, knowledge",
2,0.6807,"data, learning, training, model, models, new, language, performance, representations, supervised",
7,0.8676,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
0,0.992,"codes, code, 1, n, paper, m, optimal, linear, minimum, binary",
2,0.8838,"data, learning, training, model, models, new, language, performance, representations, supervised",
1,0.994,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
1,0.2833,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
4,0.4799,"models, learning, deep, training, model, task, art, images, state, state_art",
8,0.5998,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
8,0.7713,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
8,0.9932,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
0,0.9754,"codes, code, 1, n, paper, m, optimal, linear, minimum, binary",
8,0.3891,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
7,0.524,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
0,0.5495,"codes, code, 1, n, paper, m, optimal, linear, minimum, binary",
9,0.4868,"text, model, based, models, system, language, speech, end, word, knowledge",
0,0.8498,"codes, code, 1, n, paper, m, optimal, linear, minimum, binary",
2,0.6775,"data, learning, training, model, models, new, language, performance, representations, supervised",
8,0.9938,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
4,0.5959,"models, learning, deep, training, model, task, art, images, state, state_art",
4,0.7427,"models, learning, deep, training, model, task, art, images, state, state_art",
4,0.6665,"models, learning, deep, training, model, task, art, images, state, state_art",
8,0.4812,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
5,0.4431,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
3,0.742,"translation, model, target, information, feedback, based, language, machine, natural, machine_translation",
8,0.8118,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
1,0.4113,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
1,0.7675,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
8,0.518,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
1,0.3653,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
8,0.7317,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
3,0.9775,"translation, model, target, information, feedback, based, language, machine, natural, machine_translation",
5,0.8535,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
1,0.669,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
7,0.2826,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
7,0.4848,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
0,0.6281,"codes, code, 1, n, paper, m, optimal, linear, minimum, binary",
4,0.2971,"models, learning, deep, training, model, task, art, images, state, state_art",
1,0.498,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
6,0.7273,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
4,0.5024,"models, learning, deep, training, model, task, art, images, state, state_art",
4,0.5569,"models, learning, deep, training, model, task, art, images, state, state_art",
5,0.7482,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
4,0.523,"models, learning, deep, training, model, task, art, images, state, state_art",
5,0.5925,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
8,0.7449,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
8,0.5345,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
0,0.5186,"codes, code, 1, n, paper, m, optimal, linear, minimum, binary",
5,0.666,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
0,0.994,"codes, code, 1, n, paper, m, optimal, linear, minimum, binary",
2,0.3447,"data, learning, training, model, models, new, language, performance, representations, supervised",
1,0.3773,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
4,0.6538,"models, learning, deep, training, model, task, art, images, state, state_art",
7,0.5518,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
8,0.8938,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
9,0.594,"text, model, based, models, system, language, speech, end, word, knowledge",
1,0.8239,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
2,0.7644,"data, learning, training, model, models, new, language, performance, representations, supervised",
4,0.3242,"models, learning, deep, training, model, task, art, images, state, state_art",
8,0.8099,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
6,0.7106,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
0,0.6675,"codes, code, 1, n, paper, m, optimal, linear, minimum, binary",
6,0.5582,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
2,0.4987,"data, learning, training, model, models, new, language, performance, representations, supervised",
9,0.749,"text, model, based, models, system, language, speech, end, word, knowledge",
1,0.5756,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
6,0.5822,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
7,0.9947,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
2,0.7104,"data, learning, training, model, models, new, language, performance, representations, supervised",
1,0.9953,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
8,0.5841,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
1,0.6316,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
8,0.724,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
9,0.4554,"text, model, based, models, system, language, speech, end, word, knowledge",
7,0.9211,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
9,0.8194,"text, model, based, models, system, language, speech, end, word, knowledge",
9,0.5506,"text, model, based, models, system, language, speech, end, word, knowledge",
1,0.4831,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
7,0.6263,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
2,0.4627,"data, learning, training, model, models, new, language, performance, representations, supervised",
5,0.6403,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
1,0.9947,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
1,0.5718,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
6,0.7131,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
6,0.6868,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
4,0.6777,"models, learning, deep, training, model, task, art, images, state, state_art",
5,0.5265,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
1,0.4852,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
8,0.9936,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
2,0.4644,"data, learning, training, model, models, new, language, performance, representations, supervised",
