Topic_Num,Topic_Perc_Contrib,Keywords,Text
2,0.9976,"model, language, text, system, task, based, word, our, data, it","  Multilingual Neural Machine Translation (MNMT) models are commonly trained on
a joint set of bilingual corpora which is acutely English-centric (i.e. English
either as the source or target language). While direct data between two
languages that are non-English is explicitly available at times its use is not
common. In this paper we first take a step back and look at the commonly used
bilingual corpora (WMT) and resurface the existence and importance of implicit
structure that existed in it: multi-way alignment across examples (the same
sentence in more than two languages). We set out to study the use of multi-way
aligned examples to enrich the original English-centric parallel corpora. We
reintroduce this direct parallel data from multi-way aligned corpora between
all source and target languages. By doing so the English-centric graph expands
into a complete graph every language pair being connected. We call MNMT with
such connectivity pattern complete Multilingual Neural Machine Translation
(cMNMT) and demonstrate its utility and efficacy with a series of experiments
and analysis. In combination with a novel training data sampling strategy that
is conditioned on the target language only cMNMT yields competitive
translation quality for all language pairs. We further study the size effect of
multi-way aligned data its transfer learning capabilities and how it eases
adding a new language in MNMT. Finally we stress test cMNMT at scale and
demonstrate that we can train a cMNMT model with up to 111*112=12432 language
pairs that provides competitive translation quality for all language pairs.
"
2,0.9972,"model, language, text, system, task, based, word, our, data, it","  One of the hardest problems in the area of Natural Language Processing and
Artificial Intelligence is automatically generating language that is coherent
and understandable to humans. Teaching machines how to converse as humans do
falls under the broad umbrella of Natural Language Generation. Recent years
have seen unprecedented growth in the number of research articles published on
this subject in conferences and journals both by academic and industry
researchers. There have also been several workshops organized alongside
top-tier NLP conferences dedicated specifically to this problem. All this
activity makes it hard to clearly define the state of the field and reason
about its future directions. In this work we provide an overview of this
important and thriving area covering traditional approaches statistical
approaches and also approaches that use deep neural networks. We provide a
comprehensive review towards building open domain dialogue systems an
important application of natural language generation. We find that
predominantly the approaches for building dialogue systems use seq2seq or
language models architecture. Notably we identify three important areas of
further research towards building more effective dialogue systems: 1)
incorporating larger context including conversation context and world
knowledge; 2) adding personae or personality in the NLG system; and 3)
overcoming dull and generic responses that affect the quality of
system-produced responses. We provide pointers on how to tackle these open
problems through the use of cognitive architectures that mimic human language
understanding and generation capabilities.
"
2,0.9971,"model, language, text, system, task, based, word, our, data, it","  In this paper we propose a three-stage training methodology to improve the
speech recognition accuracy of low-resource languages. We explore and propose
an effective combination of techniques such as transfer learning encoder
freezing data augmentation using Text-To-Speech (TTS) and Semi-Supervised
Learning (SSL). To improve the accuracy of a low-resource Italian ASR we
leverage a well-trained English model unlabeled text corpus and unlabeled
audio corpus using transfer learning TTS augmentation and SSL respectively.
In the first stage we use transfer learning from a well-trained English model.
This primarily helps in learning the acoustic information from a resource-rich
language. This stage achieves around 24% relative Word Error Rate (WER)
reduction over the baseline. In stage two We utilize unlabeled text data via
TTS data-augmentation to incorporate language information into the model. We
also explore freezing the acoustic encoder at this stage. TTS data augmentation
helps us further reduce the WER by ~ 21% relatively. Finally In stage three we
reduce the WER by another 4% relative by using SSL from unlabeled audio data.
Overall our two-pass speech recognition system with a Monotonic Chunkwise
Attention (MoChA) in the first pass and a full-attention in the second pass
achieves a WER reduction of ~ 42% relative to the baseline.
"
2,0.9969,"model, language, text, system, task, based, word, our, data, it","  Healthcare organizations are in a continuous effort to improve health
outcomes reduce costs and enhance patient experience of care. Data is
essential to measure and help achieving these improvements in healthcare
delivery. Consequently a data influx from various clinical financial and
operational sources is now overtaking healthcare organizations and their
patients. The effective use of this data however is a major challenge.
Clearly text is an important medium to make data accessible. Financial reports
are produced to assess healthcare organizations on some key performance
indicators to steer their healthcare delivery. Similarly at a clinical level
data on patient status is conveyed by means of textual descriptions to
facilitate patient review shift handover and care transitions. Likewise
patients are informed about data on their health status and treatments via
text in the form of reports or via ehealth platforms by their doctors.
Unfortunately such text is the outcome of a highly labour-intensive process if
it is done by healthcare professionals. It is also prone to incompleteness
subjectivity and hard to scale up to different domains wider audiences and
varying communication purposes. Data-to-text is a recent breakthrough
technology in artificial intelligence which automatically generates natural
language in the form of text or speech from data. This chapter provides a
survey of data-to-text technology with a focus on how it can be deployed in a
healthcare setting. It will (1) give an up-to-date synthesis of data-to-text
approaches (2) give a categorized overview of use cases in healthcare (3)
seek to make a strong case for evaluating and implementing data-to-text in a
healthcare setting and (4) highlight recent research challenges.
"
2,0.9963,"model, language, text, system, task, based, word, our, data, it","  Datasets are not only resources for training accurate deployable systems
but are also benchmarks for developing new modeling approaches. While large
natural datasets are necessary for training accurate systems are they
necessary for driving modeling innovation? For example while the popular SQuAD
question answering benchmark has driven the development of new modeling
approaches could synthetic or smaller benchmarks have led to similar
innovations?
  This counterfactual question is impossible to answer but we can study a
necessary condition: the ability for a benchmark to recapitulate findings made
on SQuAD. We conduct a retrospective study of 20 SQuAD modeling approaches
investigating how well 32 existing and synthesized benchmarks concur with SQuAD
-- i.e. do they rank the approaches similarly? We carefully construct small
targeted synthetic benchmarks that do not resemble natural language yet have
high concurrence with SQuAD demonstrating that naturalness and size are not
necessary for reflecting historical modeling improvements on SQuAD. Our results
raise the intriguing possibility that small and carefully designed synthetic
benchmarks may be useful for driving the development of new modeling
approaches.
"
3,0.9975,"model, method, learning, our, from, image, based, video, approach, data","  One of the great promises of robot learning systems is that they will be able
to learn from their mistakes and continuously adapt to ever-changing
environments. Despite this potential most of the robot learning systems today
are deployed as a fixed policy and they are not being adapted after their
deployment. Can we efficiently adapt previously learned behaviors to new
environments objects and percepts in the real world? In this paper we present
a method and empirical evidence towards a robot learning framework that
facilitates continuous adaption. In particular we demonstrate how to adapt
vision-based robotic manipulation policies to new variations by fine-tuning via
off-policy reinforcement learning including changes in background object
shape and appearance lighting conditions and robot morphology. Further this
adaptation uses less than 0.2% of the data necessary to learn the task from
scratch. We find that our approach of adapting pre-trained policies leads to
substantial performance gains over the course of fine-tuning and that
pre-training via RL is essential: training from scratch or adapting from
supervised ImageNet features are both unsuccessful with such small amounts of
data. We also find that these positive results hold in a limited continual
learning setting in which we repeatedly fine-tune a single lineage of policies
using data from a succession of new tasks. Our empirical conclusions are
consistently supported by experiments on simulated manipulation tasks and by
52 unique fine-tuning experiments on a real robotic grasping system pre-trained
on 580000 grasps.
"
3,0.9975,"model, method, learning, our, from, image, based, video, approach, data","  Person re-identification (re-ID) is a challenging problem especially when no
labels are available for training. Although recent deep re-ID methods have
achieved great improvement it is still difficult to optimize deep re-ID model
without annotations in training data. To address this problem this study
introduces a novel approach for unsupervised person re-ID by leveraging virtual
and real data. Our approach includes two components: virtual person generation
and training of deep re-ID model. For virtual person generation we learn a
person generation model and a camera style transfer model using unlabeled real
data to generate virtual persons with different poses and camera styles. The
virtual data is formed as labeled training data enabling subsequently training
deep re-ID model in supervision. For training of deep re-ID model we divide it
into three steps: 1) pre-training a coarse re-ID model by using virtual data;
2) collaborative filtering based positive pair mining from the real data; and
3) fine-tuning of the coarse re-ID model by leveraging the mined positive pairs
and virtual data. The final re-ID model is achieved by iterating between step 2
and step 3 until convergence. Experimental results on two large-scale datasets
Market-1501 and DukeMTMC-reID demonstrate the effectiveness of our approach
and shows that the state of the art is achieved in unsupervised person re-ID.
"
3,0.9973,"model, method, learning, our, from, image, based, video, approach, data","  The goal of this paper is to self-train a 3D convolutional neural network on
an unlabeled video collection for deployment on small-scale video collections.
As smaller video datasets benefit more from motion than appearance we strive
to train our network using optical flow but avoid its computation during
inference. We propose the first motion-augmented self-training regime we call
MotionFit. We start with supervised training of a motion model on a small and
labeled video collection. With the motion model we generate pseudo-labels for
a large unlabeled video collection which enables us to transfer knowledge by
learning to predict these pseudo-labels with an appearance model. Moreover we
introduce a multi-clip loss as a simple yet efficient way to improve the
quality of the pseudo-labeling even without additional auxiliary tasks. We
also take into consideration the temporal granularity of videos during
self-training of the appearance model which was missed in previous works. As a
result we obtain a strong motion-augmented representation model suited for
video downstream tasks like action recognition and clip retrieval. On
small-scale video datasets MotionFit outperforms alternatives for knowledge
transfer by 5%-8% video-only self-supervision by 1%-7% and semi-supervised
learning by 9%-18% using the same amount of class labels.
"
3,0.9973,"model, method, learning, our, from, image, based, video, approach, data","  This paper proposes a self-supervised learning method for the person
re-identification (re-ID) problem where existing unsupervised methods usually
rely on pseudo labels such as those from video tracklets or clustering. A
potential drawback of using pseudo labels is that errors may accumulate and it
is challenging to estimate the number of pseudo IDs. We introduce a different
unsupervised method that allows us to learn pedestrian embeddings from raw
videos without resorting to pseudo labels. The goal is to construct a
self-supervised pretext task that matches the person re-ID objective. Inspired
by the emphdata association concept in multi-object tracking we propose the
textbfCycle textbfAssociation (textbfCycAs) task: after performing
data association between a pair of video frames forward and then backward a
pedestrian instance is supposed to be associated to itself. To fulfill this
goal the model must learn a meaningful representation that can well describe
correspondences between instances in frame pairs. We adapt the discrete
association process to a differentiable form such that end-to-end training
becomes feasible. Experiments are conducted in two aspects: We first compare
our method with existing unsupervised re-ID methods on seven benchmarks and
demonstrate CycAs' superiority. Then to further validate the practical value
of CycAs in real-world applications we perform training on self-collected
videos and report promising performance on standard test sets.
"
3,0.9972,"model, method, learning, our, from, image, based, video, approach, data","  Modeling 3D humans accurately and robustly from a single image is very
challenging and the key for such an ill-posed problem is the 3D representation
of the human models. To overcome the limitations of regular 3D representations
we propose Parametric Model-Conditioned Implicit Representation (PaMIR) which
combines the parametric body model with the free-form deep implicit function.
In our PaMIR-based reconstruction framework a novel deep neural network is
proposed to regularize the free-form deep implicit function using the semantic
features of the parametric model which improves the generalization ability
under the scenarios of challenging poses and various clothing topologies.
Moreover a novel depth-ambiguity-aware training loss is further integrated to
resolve depth ambiguities and enable successful surface detail reconstruction
with imperfect body reference. Finally we propose a body reference
optimization method to improve the parametric model estimation accuracy and to
enhance the consistency between the parametric model and the implicit function.
With the PaMIR representation our framework can be easily extended to
multi-image input scenarios without the need of multi-camera calibration and
pose synchronization. Experimental results demonstrate that our method achieves
state-of-the-art performance for image-based 3D human reconstruction in the
cases of challenging poses and clothing types.
"
4,0.9971,"image, model, training, data, adversarial, our, learning, network, method, from","  Despite the significant advances in recent years Generative Adversarial
Networks (GANs) are still notoriously hard to train. In this paper we propose
three novel curriculum learning strategies for training GANs. All strategies
are first based on ranking the training images by their difficulty scores
which are estimated by a state-of-the-art image difficulty predictor. Our first
strategy is to divide images into gradually more difficult batches. Our second
strategy introduces a novel curriculum loss function for the discriminator that
takes into account the difficulty scores of the real images. Our third strategy
is based on sampling from an evolving distribution which favors the easier
images during the initial training stages and gradually converges to a uniform
distribution in which samples are equally likely regardless of difficulty. We
compare our curriculum learning strategies with the classic training procedure
on two tasks: image generation and image translation. Our experiments indicate
that all strategies provide faster convergence and superior results. For
example our best curriculum learning strategy applied on spectrally normalized
GANs (SNGANs) fooled human annotators in thinking that generated CIFAR-like
images are real in 25.0% of the presented cases while the SNGANs trained using
the classic procedure fooled the annotators in only 18.4% cases. Similarly in
image translation the human annotators preferred the images produced by the
Cycle-consistent GAN (CycleGAN) trained using curriculum learning in 40.5%
cases and those produced by CycleGAN based on classic training in only 19.8%
cases 39.7% cases being labeled as ties.
"
4,0.9967,"image, model, training, data, adversarial, our, learning, network, method, from","  Successfully training Variational Autoencoders (VAEs) with a hierarchy of
discrete latent variables remains an area of active research.
  Vector-Quantised VAEs are a powerful approach to discrete VAEs but naive
hierarchical extensions can be unstable when training. Leveraging insights from
classical methods of inference we introduce textitRelaxed-Responsibility
Vector-Quantisation a novel way to parameterise discrete latent variables a
refinement of relaxed Vector-Quantisation that gives better performance and
more stable training. This enables a novel approach to hierarchical discrete
variational autoencoders with numerous layers of latent variables (here up to
32) that we train end-to-end. Within hierarchical probabilistic deep generative
models with discrete latent variables trained end-to-end we achieve
state-of-the-art bits-per-dim results for various standard datasets. % Unlike
discrete VAEs with a single layer of latent variables we can produce samples
by ancestral sampling: it is not essential to train a second autoregressive
generative model over the learnt latent representations to then sample from and
then decode. % Moreover that latter approach in these deep hierarchical models
would require thousands of forward passes to generate a single sample. Further
we observe different layers of our model become associated with different
aspects of the data.
"
4,0.9966,"image, model, training, data, adversarial, our, learning, network, method, from","  Variational autoencoders (VAEs) as an important aspect of generative models
have received a lot of research interests and reached many successful
applications. However it is always a challenge to achieve the consistency
between the learned latent distribution and the prior latent distribution when
optimizing the evidence lower bound (ELBO) and finally leads to an
unsatisfactory performance in data generation. In this paper we propose a
latent distribution consistency approach to avoid such substantial
inconsistency between the posterior and prior latent distributions in ELBO
optimizing. We name our method as latent distribution consistency VAE
(LDC-VAE). We achieve this purpose by assuming the real posterior distribution
in latent space as a Gibbs form and approximating it by using our encoder.
However there is no analytical solution for such Gibbs posterior in
approximation and traditional approximation ways are time consuming such as
using the iterative sampling-based MCMC. To address this problem we use the
Stein Variational Gradient Descent (SVGD) to approximate the Gibbs posterior.
Meanwhile we use the SVGD to train a sampler net which can obtain efficient
samples from the Gibbs posterior. Comparative studies on the popular image
generation datasets show that our method has achieved comparable or even better
performance than several powerful improvements of VAEs.
"
4,0.9966,"image, model, training, data, adversarial, our, learning, network, method, from","  In this paper we propose an approach to improve image captioning solution
for images with novel objects that do not have caption labels in the training
dataset. We refer to our approach as Partially-Supervised Novel Object
Captioning (PS-NOC). PS-NOC is agnostic to model architecture and primarily
focuses on the training approach that uses existing fully paired image-caption
data and the images with only the novel object detection labels (partially
paired data). We create synthetic paired captioning data for novel objects by
leveraging context from existing image-caption pairs. We then create
pseudo-label captions for partially paired images with novel objects and use
this additional data to fine-tune the captioning model. We also propose a
variant of SCST within PS-NOC called SCST-F1 that directly optimizes the
F1-score of novel objects. Using a popular captioning model (Up-Down) as
baseline PS-NOC sets new state-of-the-art results on held-out MS COCO
out-of-domain test split i.e. 85.9 F1-score and 103.8 CIDEr. This is an
improvement of 85.9 and 34.1 points respectively compared to baseline model
that does not use partially paired data during training. We also perform
detailed ablation studies to demonstrate the effectiveness of our approach.
"
4,0.9958,"image, model, training, data, adversarial, our, learning, network, method, from","  Classifiers used in the wild in particular for safety-critical systems
should not only have good generalization properties but also should know when
they don't know in particular make low confidence predictions far away from
the training data. We show that ReLU type neural networks which yield a
piecewise linear classifier function fail in this regard as they produce almost
always high confidence predictions far away from the training data. For bounded
domains like images we propose a new robust optimization technique similar to
adversarial training which enforces low confidence predictions far away from
the training data. We show that this technique is surprisingly effective in
reducing the confidence of predictions far away from the training data while
maintaining high confidence predictions and test error on the original
classification task compared to standard training.
"
5,0.9972,"model, our, image, network, feature, task, show, attention, propose, dataset","  Zero-shot sketch-based image retrieval (ZS-SBIR) is a specific cross-modal
retrieval task for searching natural images given free-hand sketches under the
zero-shot scenario. Most existing methods solve this problem by simultaneously
projecting visual features and semantic supervision into a low-dimensional
common space for efficient retrieval. However such low-dimensional projection
destroys the completeness of semantic knowledge in original semantic space so
that it is unable to transfer useful knowledge well when learning semantic from
different modalities. Moreover the domain information and semantic information
are entangled in visual features which is not conducive for cross-modal
matching since it will hinder the reduction of domain gap between sketch and
image. In this paper we propose a Progressive Domain-independent Feature
Decomposition (PDFD) network for ZS-SBIR. Specifically with the supervision of
original semantic knowledge PDFD decomposes visual features into domain
features and semantic ones and then the semantic features are projected into
common space as retrieval features for ZS-SBIR. The progressive projection
strategy maintains strong semantic supervision. Besides to guarantee the
retrieval features to capture clean and complete semantic information the
cross-reconstruction loss is introduced to encourage that any combinations of
retrieval features and domain features can reconstruct the visual features.
Extensive experiments demonstrate the superiority of our PDFD over
state-of-the-art competitors.
"
5,0.9967,"model, our, image, network, feature, task, show, attention, propose, dataset","  Image aesthetic quality assessment has been a relatively hot topic during the
last decade. Most recently comments type assessment (aesthetic captions) has
been proposed to describe the general aesthetic impression of an image using
text. In this paper we propose Aesthetic Attributes Assessment of Images
which means the aesthetic attributes captioning. This is a new formula of image
aesthetic assessment which predicts aesthetic attributes captions together
with the aesthetic score of each attribute. We introduce a new dataset named
emphDPC-Captions which contains comments of up to 5 aesthetic attributes of
one image through knowledge transfer from a full-annotated small-scale dataset.
Then we propose Aesthetic Multi-Attribute Network (AMAN) which is trained on
a mixture of fully-annotated small-scale PCCD dataset and weakly-annotated
large-scale DPC-Captions dataset. Our AMAN makes full use of transfer learning
and attention model in a single framework. The experimental results on our
DPC-Captions and PCCD dataset reveal that our method can predict captions of 5
aesthetic attributes together with numerical score assessment of each
attribute. We use the evaluation criteria used in image captions to prove that
our specially designed AMAN model outperforms traditional CNN-LSTM model and
modern SCA-CNN model of image captions.
"
5,0.9952,"model, our, image, network, feature, task, show, attention, propose, dataset","  We introduce a model for bidirectional retrieval of images and sentences
through a multi-modal embedding of visual and natural language data. Unlike
previous models that directly map images or sentences into a common embedding
space our model works on a finer level and embeds fragments of images
(objects) and fragments of sentences (typed dependency tree relations) into a
common space. In addition to a ranking objective seen in previous work this
allows us to add a new fragment alignment objective that learns to directly
associate these fragments across modalities. Extensive experimental evaluation
shows that reasoning on both the global level of images and sentences and the
finer level of their respective fragments significantly improves performance on
image-sentence retrieval tasks. Additionally our model provides interpretable
predictions since the inferred inter-modal fragment alignment is explicit.
"
5,0.9948,"model, our, image, network, feature, task, show, attention, propose, dataset","  This paper investigates the problem of learning cross-lingual representations
in a contextual space. We propose Cross-Lingual BERT Transformation (CLBT) a
simple and efficient approach to generate cross-lingual contextualized word
embeddings based on publicly available pre-trained BERT models (Devlin et al.
2018). In this approach a linear transformation is learned from contextual
word alignments to align the contextualized embeddings independently trained in
different languages. We demonstrate the effectiveness of this approach on
zero-shot cross-lingual transfer parsing. Experiments show that our embeddings
substantially outperform the previous state-of-the-art that uses static
embeddings. We further compare our approach with XLM (Lample and Conneau
2019) a recently proposed cross-lingual language model trained with massive
parallel data and achieve highly competitive results.
"
5,0.9933,"model, our, image, network, feature, task, show, attention, propose, dataset","  In this paper we present a transfer learning approach for music
classification and regression tasks. We propose to use a pre-trained convnet
feature a concatenated feature vector using the activations of feature maps of
multiple layers in a trained convolutional network. We show how this convnet
feature can serve as general-purpose music representation. In the experiments
a convnet is trained for music tagging and then transferred to other
music-related classification and regression tasks. The convnet feature
outperforms the baseline MFCC feature in all the considered tasks and several
previous approaches that are aggregating MFCCs as well as low- and high-level
music features.
"
