Dominant_Topic,Perc_Contribution,Topic_Keywords,Original_Text
8,0.6329,"image, network, method, propose, features, methods, art, state, 3d, feature",
6,0.382,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
1,0.4629,"language, text, model, word, models, based, information, task, natural, words",
2,0.3764,"data, training, model, learning, adversarial, method, loss, space, models, propose",
9,0.5062,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
1,0.2851,"language, text, model, word, models, based, information, task, natural, words",
6,0.4982,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
1,0.2901,"language, text, model, word, models, based, information, task, natural, words",
9,0.5455,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
3,0.4988,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
1,0.3931,"language, text, model, word, models, based, information, task, natural, words",
6,0.4357,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
9,0.3575,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
8,0.3606,"image, network, method, propose, features, methods, art, state, 3d, feature",
8,0.3244,"image, network, method, propose, features, methods, art, state, 3d, feature",
8,0.4278,"image, network, method, propose, features, methods, art, state, 3d, feature",
1,0.4519,"language, text, model, word, models, based, information, task, natural, words",
1,0.4793,"language, text, model, word, models, based, information, task, natural, words",
4,0.7738,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
4,0.9581,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
0,0.4446,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
0,0.4195,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
0,0.5717,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
4,0.9634,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
9,0.6376,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
7,0.3872,"data, system, learning, systems, research, human, machine, user, speech, s",
2,0.3687,"data, training, model, learning, adversarial, method, loss, space, models, propose",
6,0.6346,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
5,0.3614,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
8,0.3265,"image, network, method, propose, features, methods, art, state, 3d, feature",
3,0.2928,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
1,0.4559,"language, text, model, word, models, based, information, task, natural, words",
8,0.5654,"image, network, method, propose, features, methods, art, state, 3d, feature",
5,0.7247,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
8,0.6133,"image, network, method, propose, features, methods, art, state, 3d, feature",
0,0.4803,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
8,0.3696,"image, network, method, propose, features, methods, art, state, 3d, feature",
2,0.4188,"data, training, model, learning, adversarial, method, loss, space, models, propose",
3,0.5063,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
5,0.2776,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
1,0.362,"language, text, model, word, models, based, information, task, natural, words",
8,0.5561,"image, network, method, propose, features, methods, art, state, 3d, feature",
4,0.8748,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
4,0.6319,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
8,0.4993,"image, network, method, propose, features, methods, art, state, 3d, feature",
4,0.4887,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
4,0.8524,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
8,0.5957,"image, network, method, propose, features, methods, art, state, 3d, feature",
1,0.5047,"language, text, model, word, models, based, information, task, natural, words",
5,0.4342,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
4,0.6438,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
4,0.7416,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
4,0.9134,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
1,0.4166,"language, text, model, word, models, based, information, task, natural, words",
1,0.4527,"language, text, model, word, models, based, information, task, natural, words",
8,0.4582,"image, network, method, propose, features, methods, art, state, 3d, feature",
5,0.2703,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
8,0.527,"image, network, method, propose, features, methods, art, state, 3d, feature",
9,0.4533,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
8,0.5449,"image, network, method, propose, features, methods, art, state, 3d, feature",
9,0.5599,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
8,0.7689,"image, network, method, propose, features, methods, art, state, 3d, feature",
7,0.2906,"data, system, learning, systems, research, human, machine, user, speech, s",
8,0.3324,"image, network, method, propose, features, methods, art, state, 3d, feature",
3,0.311,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
9,0.3419,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
0,0.2986,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
8,0.4193,"image, network, method, propose, features, methods, art, state, 3d, feature",
4,0.9605,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
9,0.2694,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
1,0.4144,"language, text, model, word, models, based, information, task, natural, words",
9,0.2235,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
4,0.7446,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
8,0.6454,"image, network, method, propose, features, methods, art, state, 3d, feature",
8,0.4595,"image, network, method, propose, features, methods, art, state, 3d, feature",
3,0.6089,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
4,0.3451,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
2,0.3115,"data, training, model, learning, adversarial, method, loss, space, models, propose",
2,0.3254,"data, training, model, learning, adversarial, method, loss, space, models, propose",
5,0.3211,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
6,0.282,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
9,0.3922,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
5,0.3866,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
3,0.4215,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
3,0.3052,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
8,0.5141,"image, network, method, propose, features, methods, art, state, 3d, feature",
3,0.3431,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
1,0.3934,"language, text, model, word, models, based, information, task, natural, words",
5,0.7025,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
5,0.4379,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
1,0.4104,"language, text, model, word, models, based, information, task, natural, words",
4,0.4659,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
0,0.2938,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
1,0.4352,"language, text, model, word, models, based, information, task, natural, words",
1,0.5408,"language, text, model, word, models, based, information, task, natural, words",
1,0.8158,"language, text, model, word, models, based, information, task, natural, words",
0,0.318,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
2,0.3998,"data, training, model, learning, adversarial, method, loss, space, models, propose",
3,0.8119,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
2,0.5293,"data, training, model, learning, adversarial, method, loss, space, models, propose",
1,0.6797,"language, text, model, word, models, based, information, task, natural, words",
4,0.6937,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
3,0.3543,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
6,0.2532,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
2,0.2826,"data, training, model, learning, adversarial, method, loss, space, models, propose",
5,0.3484,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
1,0.5675,"language, text, model, word, models, based, information, task, natural, words",
6,0.3824,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
4,0.5323,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
4,0.8953,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
1,0.4019,"language, text, model, word, models, based, information, task, natural, words",
1,0.6064,"language, text, model, word, models, based, information, task, natural, words",
4,0.5134,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
3,0.2798,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
9,0.486,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
0,0.2713,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
9,0.3253,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
6,0.6612,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
4,0.4477,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
6,0.5915,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
0,0.3888,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
5,0.5215,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
4,0.6611,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
2,0.6218,"data, training, model, learning, adversarial, method, loss, space, models, propose",
9,0.2843,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
8,0.8878,"image, network, method, propose, features, methods, art, state, 3d, feature",
9,0.2343,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
8,0.5163,"image, network, method, propose, features, methods, art, state, 3d, feature",
8,0.8242,"image, network, method, propose, features, methods, art, state, 3d, feature",
1,0.421,"language, text, model, word, models, based, information, task, natural, words",
3,0.6643,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
2,0.2043,"data, training, model, learning, adversarial, method, loss, space, models, propose",
4,0.596,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
9,0.2853,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
4,0.8941,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
8,0.3469,"image, network, method, propose, features, methods, art, state, 3d, feature",
8,0.5862,"image, network, method, propose, features, methods, art, state, 3d, feature",
8,0.37,"image, network, method, propose, features, methods, art, state, 3d, feature",
0,0.7932,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
7,0.3328,"data, system, learning, systems, research, human, machine, user, speech, s",
8,0.359,"image, network, method, propose, features, methods, art, state, 3d, feature",
7,0.5049,"data, system, learning, systems, research, human, machine, user, speech, s",
8,0.35,"image, network, method, propose, features, methods, art, state, 3d, feature",
1,0.4554,"language, text, model, word, models, based, information, task, natural, words",
2,0.3595,"data, training, model, learning, adversarial, method, loss, space, models, propose",
4,0.5542,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
8,0.3688,"image, network, method, propose, features, methods, art, state, 3d, feature",
7,0.4421,"data, system, learning, systems, research, human, machine, user, speech, s",
9,0.6829,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
8,0.6065,"image, network, method, propose, features, methods, art, state, 3d, feature",
4,0.3834,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
3,0.2711,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
8,0.4062,"image, network, method, propose, features, methods, art, state, 3d, feature",
4,0.4973,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
6,0.3796,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
4,0.8318,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
3,0.3149,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
3,0.3717,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
3,0.3089,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
6,0.3625,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
2,0.2497,"data, training, model, learning, adversarial, method, loss, space, models, propose",
5,0.3791,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
6,0.4214,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
4,0.6379,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
5,0.5153,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
9,0.5056,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
4,0.9056,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
5,0.5047,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
0,0.5936,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
2,0.6698,"data, training, model, learning, adversarial, method, loss, space, models, propose",
0,0.4557,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
8,0.5575,"image, network, method, propose, features, methods, art, state, 3d, feature",
8,0.7217,"image, network, method, propose, features, methods, art, state, 3d, feature",
3,0.321,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
5,0.2852,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
8,0.5702,"image, network, method, propose, features, methods, art, state, 3d, feature",
0,0.341,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
0,0.4979,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
2,0.5551,"data, training, model, learning, adversarial, method, loss, space, models, propose",
7,0.3994,"data, system, learning, systems, research, human, machine, user, speech, s",
7,0.419,"data, system, learning, systems, research, human, machine, user, speech, s",
2,0.3179,"data, training, model, learning, adversarial, method, loss, space, models, propose",
1,0.5825,"language, text, model, word, models, based, information, task, natural, words",
6,0.6527,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
6,0.6161,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
4,0.877,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
8,0.7577,"image, network, method, propose, features, methods, art, state, 3d, feature",
0,0.3658,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
1,0.6062,"language, text, model, word, models, based, information, task, natural, words",
7,0.3874,"data, system, learning, systems, research, human, machine, user, speech, s",
1,0.4555,"language, text, model, word, models, based, information, task, natural, words",
9,0.3754,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
6,0.4646,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
4,0.9029,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
3,0.4272,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
9,0.4569,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
3,0.35,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
9,0.3266,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
2,0.4664,"data, training, model, learning, adversarial, method, loss, space, models, propose",
4,0.6176,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
1,0.614,"language, text, model, word, models, based, information, task, natural, words",
1,0.3171,"language, text, model, word, models, based, information, task, natural, words",
9,0.5414,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
4,0.8003,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
6,0.4689,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
4,0.8665,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
8,0.4589,"image, network, method, propose, features, methods, art, state, 3d, feature",
4,0.6988,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
4,0.6962,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
6,0.6833,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
2,0.3227,"data, training, model, learning, adversarial, method, loss, space, models, propose",
9,0.3745,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
9,0.5741,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
6,0.7744,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
5,0.4348,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
8,0.3363,"image, network, method, propose, features, methods, art, state, 3d, feature",
1,0.3273,"language, text, model, word, models, based, information, task, natural, words",
5,0.5099,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
9,0.3777,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
6,0.7232,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
2,0.578,"data, training, model, learning, adversarial, method, loss, space, models, propose",
9,0.7174,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
8,0.6039,"image, network, method, propose, features, methods, art, state, 3d, feature",
9,0.8298,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
4,0.5329,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
9,0.4088,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
4,0.55,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
6,0.5023,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
9,0.5315,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
8,0.311,"image, network, method, propose, features, methods, art, state, 3d, feature",
1,0.8805,"language, text, model, word, models, based, information, task, natural, words",
1,0.3086,"language, text, model, word, models, based, information, task, natural, words",
6,0.5072,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
2,0.3414,"data, training, model, learning, adversarial, method, loss, space, models, propose",
9,0.4804,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
2,0.3155,"data, training, model, learning, adversarial, method, loss, space, models, propose",
0,0.439,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
5,0.5593,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
4,0.6876,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
5,0.4589,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
1,0.7196,"language, text, model, word, models, based, information, task, natural, words",
4,0.7935,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
0,0.6219,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
8,0.7079,"image, network, method, propose, features, methods, art, state, 3d, feature",
6,0.6674,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
8,0.6346,"image, network, method, propose, features, methods, art, state, 3d, feature",
4,0.6516,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
1,0.3982,"language, text, model, word, models, based, information, task, natural, words",
8,0.3699,"image, network, method, propose, features, methods, art, state, 3d, feature",
9,0.5648,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
0,0.3,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
8,0.5037,"image, network, method, propose, features, methods, art, state, 3d, feature",
6,0.6032,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
7,0.3457,"data, system, learning, systems, research, human, machine, user, speech, s",
9,0.3471,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
8,0.2384,"image, network, method, propose, features, methods, art, state, 3d, feature",
3,0.2898,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
0,0.4515,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
8,0.6052,"image, network, method, propose, features, methods, art, state, 3d, feature",
2,0.5913,"data, training, model, learning, adversarial, method, loss, space, models, propose",
1,0.4662,"language, text, model, word, models, based, information, task, natural, words",
6,0.3958,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
6,0.3895,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
6,0.5065,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
3,0.4572,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
6,0.5233,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
1,0.2342,"language, text, model, word, models, based, information, task, natural, words",
7,0.3435,"data, system, learning, systems, research, human, machine, user, speech, s",
7,0.4104,"data, system, learning, systems, research, human, machine, user, speech, s",
9,0.4363,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
4,0.8508,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
1,0.3639,"language, text, model, word, models, based, information, task, natural, words",
9,0.5055,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
2,0.4208,"data, training, model, learning, adversarial, method, loss, space, models, propose",
8,0.4141,"image, network, method, propose, features, methods, art, state, 3d, feature",
4,0.6407,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
1,0.3007,"language, text, model, word, models, based, information, task, natural, words",
2,0.3722,"data, training, model, learning, adversarial, method, loss, space, models, propose",
2,0.4253,"data, training, model, learning, adversarial, method, loss, space, models, propose",
5,0.4925,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
5,0.4215,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
8,0.4187,"image, network, method, propose, features, methods, art, state, 3d, feature",
1,0.3764,"language, text, model, word, models, based, information, task, natural, words",
8,0.6563,"image, network, method, propose, features, methods, art, state, 3d, feature",
1,0.7007,"language, text, model, word, models, based, information, task, natural, words",
9,0.636,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
9,0.4806,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
0,0.4569,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
4,0.8425,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
1,0.5409,"language, text, model, word, models, based, information, task, natural, words",
9,0.4069,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
1,0.5109,"language, text, model, word, models, based, information, task, natural, words",
3,0.5261,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
2,0.4946,"data, training, model, learning, adversarial, method, loss, space, models, propose",
1,0.4621,"language, text, model, word, models, based, information, task, natural, words",
1,0.5769,"language, text, model, word, models, based, information, task, natural, words",
1,0.3119,"language, text, model, word, models, based, information, task, natural, words",
9,0.6146,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
8,0.4163,"image, network, method, propose, features, methods, art, state, 3d, feature",
8,0.5638,"image, network, method, propose, features, methods, art, state, 3d, feature",
1,0.3566,"language, text, model, word, models, based, information, task, natural, words",
5,0.6324,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
3,0.461,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
0,0.363,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
6,0.5954,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
5,0.4326,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
9,0.3642,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
6,0.9215,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
